sector,Company,기준가,Date,Volume,close,high,low,open,배당성향,gold,유가,Trend_B,Trend_F,C_operation,C_Investing,C_Finance,매출이익,순이익,영업이익,EPS,PBR,PER,UpDI,DownDI,DMI,수익률
Consumer Discretionary,AAPL.UW.Equity,1355.545802,2010-02-01,853.655698,29.23,29.31,27.26,192.37,0,1108.25,76.39,32,32,2330,-83,162,15683,3378,4725,0.5,5.3,20.6,29.9,6.56,4.557926829,6.484517304
Consumer Discretionary,AAPL.UW.Equity,1370.35935,2010-03-01,917.63749,33.56,33.93,29.37,205.75,0,1115.5,81.2,32,30,2330,-83,162,15683,3378,4725,0.5,5.3,20.6,42.19,5.38,7.842007435,14.81354772
Consumer Discretionary,AAPL.UW.Equity,1381.503569,2010-04-01,933.258305,37.3,38.92,33.25,237.49,0,1179.25,84.29,43,38,4801,-5430,316,13499,3074,3979,0.5,5.4,19.9,51.38,4.31,11.92111369,11.14421931
Consumer Discretionary,AAPL.UW.Equity,1380.002229,2010-05-01,1433.281962,36.74,38.27,28.48,263.84,0,1207.5,73.74,38,35,4801,-5430,316,13499,3074,3979,0.5,5.4,19.9,36.72,17.01,2.158730159,-1.501340483
Consumer Discretionary,AAPL.UW.Equity,1377.797547,2010-06-01,1347.837106,35.93,39.86,34.6,259.69,0,1244,75.34,43,43,4801,-5430,316,13499,3074,3979,0.5,5.4,19.9,35.74,14.46,2.47164592,-2.204681546
Consumer Discretionary,AAPL.UW.Equity,1380.079763,2010-07-01,1196.846889,36.75,38,34.23,254.3,0,1169,76.32,42,42,5683,-4383,256,15700,3253,4234,0.5,5.3,18.9,31.8,13.95,2.279569892,2.282215419
Consumer Discretionary,AAPL.UW.Equity,1374.692008,2010-08-01,773.529771,34.77,37.75,33.65,260.44,0,1246,76.6,36,40,5683,-4383,256,15700,3253,4234,0.5,5.3,18.9,27.92,13.96,2,-5.387755102
Consumer Discretionary,AAPL.UW.Equity,1391.286773,2010-09-01,1014.184024,40.54,42.1,35.18,247.47,0,1307,75.24,44,47,5683,-4383,256,15700,3253,4234,0.5,5.3,18.9,34.19,11.15,3.066367713,16.5947656
Consumer Discretionary,AAPL.UW.Equity,1397.30552,2010-10-01,940.261581,42.98,45.57,39.68,286.14,0,1346.75,81.89,49,47,9773,-10729,429,20343,4308,5447,0.7,5.4,18.7,38.05,9.4,4.04787234,6.018746917
Consumer Discretionary,AAPL.UW.Equity,1400.725716,2010-11-01,825.02511,44.45,45.9,42.54,302.22,0,1383.5,84.25,47,43,9773,-10729,429,20343,4308,5447,0.7,5.4,18.7,35.41,8.52,4.156103286,3.42019544
Consumer Discretionary,AAPL.UW.Equity,1404.392757,2010-12-01,597.807861,46.08,46.66,44.99,315.27,0,1405.5,89.15,40,42,9773,-10729,429,20343,4308,5447,0.7,5.4,18.7,35.35,7.95,4.446540881,3.66704162
